     TOA SW           TOA LW        TOA Net All-sky
   99.2524033       238.082901       6.02050018    
   97.6362000       237.924805       2.06730008    
   97.8411026       240.794693      -6.01749992    
   96.6481018       243.254501      -10.2293997    
   94.0386963       243.945999      -8.63609982    
   93.3688965       243.618607      -5.11479998    
   95.1985016       242.209900      -1.01310003    
   101.898399       238.768005       1.72360003    
   106.468002       236.984497       4.33979988    
   108.203102       236.789795       6.23929977    
   104.726601       236.805496       9.89249992    
   102.897903       236.659897       9.01210022    
   99.0622025       236.888306       7.48549986    
   98.3844986       238.254303      0.966899991    
   97.8271027       241.102600      -6.22510004    
   96.4029007       242.453293      -9.18019962    
   93.6941986       244.257401      -8.55130005    
   93.2236023       244.664902      -6.15969992    
   94.4707031       241.958099     -0.135100007    
   101.630997       239.510406       1.11170006    
   105.840897       238.118607       3.69869995    
   108.877197       236.990906       5.29829979    
   106.751900       236.973404       7.79090023    
   102.903397       237.815796       7.93599987    
