                      Global Mean
 Surface SW Net  Surface LW Net   Surface Total Net All-sky
   166.771530      -53.1385307       113.632996    
   163.418503      -53.6574631       109.761040    
   158.240143      -53.9027443       104.337402    
   156.478882      -53.8089523       102.669930    
   158.187408      -53.0656128       105.121796    
   161.375366      -53.8903961       107.484970    
   164.176849      -53.5839615       110.592880    
   163.574799      -52.7410469       110.833755    
   164.843063      -52.6243057       112.218758    
   165.987473      -53.2754784       112.711990    
   169.274460      -53.5544815       115.719978    
   167.454010      -52.4152565       115.038757    
   166.879013      -53.1226578       113.756355    
   162.296005      -53.5352020       108.760803    
   158.493393      -54.7359657       103.757431    
   156.721985      -53.1415825       103.580399    
   158.332535      -52.5940781       105.738464    
   160.625610      -52.3889008       108.236702    
   164.343292      -53.0330162       111.310280    
   163.334625      -52.2220383       111.112579    
   164.885696      -52.9631233       111.922569    
   164.449844      -52.3473091       112.102531    
   166.675308      -52.9505310       113.724785    
   167.682358      -52.9631805       114.719170    
